name,city,number,missing,state,points,date_pose,state_date,picture_url,raw_text,raw_html
HK_030,HK,030,state_date,Détruit,20,16/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_030-grosplan.png,HK_30 [20 pts] Date de pose : 16/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_30,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_030-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_30 [20 pts]</b><br/>Date de pose : 16/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_30/"" target=""_blank"">hashtag #HK_30</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_030-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_031,HK,031,state_date,Détruit,20,16/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_031-grosplan.png,HK_31 [20 pts] Date de pose : 16/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_31,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_031-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_31 [20 pts]</b><br/>Date de pose : 16/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_31/"" target=""_blank"">hashtag #HK_31</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_031-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_033,HK,033,state_date,Détruit,50,19/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_033-grosplan.png,HK_33 [50 pts] Date de pose : 19/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_33,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_033-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_33 [50 pts]</b><br/>Date de pose : 19/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_33/"" target=""_blank"">hashtag #HK_33</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_033-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_035,HK,035,state_date,Détruit,20,19/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_035-grosplan.png,HK_35 [20 pts] Date de pose : 19/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_35,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_035-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_35 [20 pts]</b><br/>Date de pose : 19/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_35/"" target=""_blank"">hashtag #HK_35</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_035-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_036,HK,036,state_date,Détruit,20,19/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_036-grosplan.png,HK_36 [20 pts] Date de pose : 19/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_36,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_036-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_36 [20 pts]</b><br/>Date de pose : 19/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_36/"" target=""_blank"">hashtag #HK_36</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_036-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_038,HK,038,state_date,Détruit,50,19/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_038-grosplan.png,HK_38 [50 pts] Date de pose : 19/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_38,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_038-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_38 [50 pts]</b><br/>Date de pose : 19/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_38/"" target=""_blank"">hashtag #HK_38</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_038-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_039,HK,039,state_date,Détruit,50,20/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_039-grosplan.png,HK_39 [50 pts] Date de pose : 20/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_39,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_039-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_39 [50 pts]</b><br/>Date de pose : 20/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_39/"" target=""_blank"">hashtag #HK_39</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_039-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_042,HK,042,state_date,Détruit,30,21/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_042-grosplan.png,HK_42 [30 pts] Date de pose : 21/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_42,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_042-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_42 [30 pts]</b><br/>Date de pose : 21/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_42/"" target=""_blank"">hashtag #HK_42</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_042-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_043,HK,043,state_date,Détruit,20,21/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_043-grosplan.png,HK_43 [20 pts] Date de pose : 21/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_43,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_043-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_43 [20 pts]</b><br/>Date de pose : 21/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_43/"" target=""_blank"">hashtag #HK_43</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_043-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
HK_045,HK,045,state_date,Détruit,30,21/01/2014,,https://www.invader-spotter.art/grosplan/HK/HK_045-grosplan.png,HK_45 [30 pts] Date de pose : 21/01/2014 Dernier état connu : Détruit ! Instagram: hashtag #HK_45,"<tr class=""haut"">
<td align=""left"" rowspan=""2"" width=""300""><img src=""grosplan/HK/HK_045-grosplan.png"" title=""?"" width=""100""/><br/><font class=""normal""><b>HK_45 [30 pts]</b><br/>Date de pose : 21/01/2014<br/>Dernier état connu : <img class=""banniere"" src=""nav/spot_invader_destroyed.png"" width=""25""/> Détruit !<br/><br/>Instagram: <a href=""https://www.instagram.com/explore/tags/hk_45/"" target=""_blank"">hashtag #HK_45</a></font></td>
<td align=""left"" width=""300""><img src=""images/HK/HK_045-archive.jpg"" width=""300""/></td>
<td align=""left"" width=""300""> </td>
</tr>"
